Campaign,Order Date,Customer,Address Line 1,Address Line 2,City,State,Zip,Customer E-Mail,Customer Phone,Order Instructions,Sold By,Item,Order Qty,Subtotal,Discount,Total,Paid By,Delivered Qty,Comment,Order ID,Latitude,Longitude
Mulch Sale 2025,03/17/2025,North Coop Restaurant & Bar,2401 MN-7,,Shorewood,MN,55331,,,,"Roosevelt, Theodore",Scotts Earthgrow BROWN Mulch,25,150.0,0.0,150.0,Check,0,,7984,44.8922728,-93.5787619
Mulch Sale 2025,03/17/2025,Vandy's Grille,7795 Laketown Pkwy,,Waconia,MN,55387,,,,"Roosevelt, Theodore",Scotts Earthgrow BROWN Mulch,25,150.0,0.0,150.0,Check,0,,7985,44.8607958,-93.7556817
Mulch Sale 2025,03/23/2025,Bode Gray's,125 W 1st St,,Waconia,MN,55387,,,By garbage cans on right,"Roosevelt, Theodore",Scotts Earthgrow RED Mulch,25,150.0,0.0,150.0,Check,0,,7987,44.849266,-93.7880581
Mulch Sale 2025,03/23/2025,Lola's Lakehouse,318 E Lake St,,Waconia,MN,55387,,,,"Roosevelt, Theodore",Scotts Earthgrow BROWN Mulch,20,120.0,0.0,120.0,Check,0,,7988,44.8515721,-93.7811091
Mulch Sale 2025,03/23/2025,Agave Mexican Restaurant,421 Ash Ave N,,Mayer,MN,55360,,,,"Roosevelt, Theodore",Scotts Earthgrow BROWN Mulch,12,72.0,0.0,72.0,Check,0,,7989,44.8887361,-93.8882643
Mulch Sale 2025,03/23/2025,Hopper's Bar & Grill,119 S Olive St,,Waconia,MN,55387,,,,"Roosevelt, Theodore",Scotts Earthgrow BROWN Mulch,10,60.0,0.0,60.0,Check,0,,7990,44.848961,-93.7874852
Mulch Sale 2025,03/23/2025,Pangea Cafe,37 W 1st St,,Waconia,MN,55387,,,Front of 3rd garage stall,"Roosevelt, Theodore",Scotts Earthgrow BROWN Mulch,10,60.0,0.0,60.0,Check,0,,7991,44.8492525,-93.7866886
Mulch Sale 2025,03/23/2025,Chick-fil-A,445 W 79th St,,Chanhassen,MN,55317,,,,"Roosevelt, Theodore",DONATION,20,20.0,0.0,20.0,Cash,0,,8010,,
Mulch Sale 2025,03/23/2025,La Catrina Restaurante & Bar,300 Lewis Ave S,,Watertown,MN,55388,,,Concrete on side of garage,"Roosevelt, Theodore",Scotts Earthgrow BROWN Mulch,20,120.0,0.0,120.0,Check,0,,7992,44.9613716,-93.8483543
Mulch Sale 2025,03/23/2025,Elephant Joe's Coffee,141 Lewis Ave S,,Watertown,MN,55388,,,,"Roosevelt, Theodore",Scotts Earthgrow BROWN Mulch,5,30.0,0.0,30.0,Cash,0,,7993,44.9634938,-93.8471839
Mulch Sale 2025,03/23/2025,Tommy's Malt Shop,2 River Bend Pl,,Chaska,MN,55318,,,Driveway,"Roosevelt, Theodore",Scotts Earthgrow BROWN Mulch,10,60.0,0.0,60.0,Check,0,,7994,44.783757,-93.601087
Mulch Sale 2025,03/23/2025,O'Brien's Public House,338 1st Ave E,,Shakopee,MN,55379,,,Driveway,"Roosevelt, Theodore",Scotts Earthgrow BROWN Mulch,5,30.0,0.0,30.0,Check,0,,7995,44.7987864,-93.522607
Mulch Sale 2025,03/23/2025,Na's Thai Cafe,566 W 78th St,,Chanhassen,MN,55317,,,Driveway,"Roosevelt, Theodore",Bagged CEDAR Mulch,8,64.0,0.0,64.0,Check,0,,7996,44.8627135,-93.5350328
Mulch Sale 2025,03/23/2025,Base Camp,6202 Bloomington Rd,,Fort Snelling,MN,55111,,,In between evergreen trees,"Roosevelt, Theodore",Scotts Earthgrow BROWN Mulch,5,30.0,0.0,30.0,Check,0,,7997,44.8907784,-93.1933273
